TIME,STN,LON,LAT,S,VIS1,VIS10,WW1,WW15
202508172128,90,128.56472778,38.25085068,1,50000,-999,0,-999
202508172128,95,127.30419922,38.14786911,2,23120,-999,0,-999
202508172128,98,127.06069946,37.90187836,2,19842,-999,0,-999
202508172128,99,126.76647949,37.88589096,2,9553,-999,0,-999
202508172128,100,128.71833801,37.67713165,2,18963,-999,0,-999
202508172128,101,127.73570251,37.90261841,2,37030,-999,0,-999
202508172128,102,124.71237183,37.97396088,2,5942,-999,10,-999
202508172128,104,128.85534668,37.80456161,1,50000,-999,0,-999
202508172128,105,128.89099121,37.75146866,2,50000,-999,0,-999
202508172128,106,129.12432861,37.50709152,2,50000,-999,0,-999
202508172128,108,126.96579742,37.57141876,1,16226,-999,0,-999
202508172128,112,126.62490082,37.47771835,1,20030,-999,0,-999
202508172128,114,127.94658661,37.33749008,1,50000,-999,0,-999
202508172128,115,130.89863586,37.48128891,1,50000,-999,0,-999
202508172128,119,126.98300171,37.25746155,2,22860,-999,-999,-999
202508172128,121,128.45742798,37.18125916,1,31120,-999,0,-999
202508172128,127,127.95249939,36.97045135,2,44478,-999,0,-999
202508172128,129,126.49389648,36.77658081,2,10772,-999,-999,-999
202508172128,131,127.44065857,36.63924026,2,38378,-999,0,-999
202508172128,133,127.37210083,36.37199020,1,50000,-999,0,-999
202508172128,135,127.99458313,36.22024918,2,35190,-999,0,-999
202508172128,136,128.70733643,36.57292938,2,50000,-999,0,-999
202508172128,137,128.15740967,36.40837097,2,49162,-999,0,-999
202508172128,138,129.38002014,36.03200912,2,50000,-999,0,-999
202508172128,143,128.65295410,35.87797165,2,50000,-999,0,-999
202508172128,146,127.11717987,35.84091949,2,26646,-999,0,-999
202508172128,155,128.57281494,35.17018890,1,28225,-999,0,-999
202508172128,156,126.89156342,35.17293930,1,28591,-999,0,-999
202508172128,159,129.03202820,35.10467911,1,18919,-999,0,-999
202508172128,165,126.38150787,34.81732178,1,43590,-999,0,-999
202508172128,168,127.74063110,34.73928833,2,30661,-999,0,-999
202508172128,169,125.45104980,34.68719101,2,10326,-999,10,-999
202508172128,170,126.70182037,34.39590073,1,25072,-999,0,-999
202508172128,172,126.59899902,35.34823990,2,21360,-999,0,-999
202508172128,174,127.36940002,35.02040100,1,6769,-999,10,-999
202508172128,177,126.68772125,36.65758896,2,17020,-999,0,-999
202508172128,184,126.52969360,33.51411057,1,50000,-999,0,-999
202508172128,189,126.56529999,33.24615860,1,34270,-999,0,-999
202508172128,192,128.04003906,35.16378021,2,26263,-999,0,-999
202508172128,201,126.44634247,37.70738983,1,10320,-999,0,-999
202508172128,202,127.49446106,37.48862839,1,31931,-999,0,-999
202508172128,203,127.48420715,37.26398849,1,39069,-999,0,-999
202508172128,211,128.16714478,38.05986023,2,37126,-999,0,-999
202508172128,212,127.88043213,37.68360138,2,37610,-999,0,-999
202508172128,216,128.98928833,37.17037964,1,47185,-999,0,-999
202508172128,217,128.64590454,37.38148880,2,27373,-999,0,-999
202508172128,221,128.19433594,37.15927887,1,25629,-999,0,-999
202508172128,226,127.73415375,36.48760986,1,35113,-999,0,-999
202508172128,232,127.29282379,36.76216888,1,22990,-999,0,-999
202508172128,235,126.55744171,36.32723999,1,12570,-999,0,-999
202508172128,236,126.92079163,36.27241898,1,18275,-999,0,-999
202508172128,238,127.48175049,36.10562897,1,48161,-999,0,-999
202508172128,239,127.24437714,36.48522186,2,16200,-999,23,-999
202508172128,243,126.71656799,35.72961044,1,31996,-999,0,-999
202508172128,244,127.28556061,35.61203003,1,20594,-999,0,-999
202508172128,245,126.83904266,35.56336975,1,19368,-999,0,-999
202508172128,247,127.39652252,35.42129898,1,28239,-999,0,-999
202508172128,248,127.52030945,35.65695953,1,23942,-999,0,-999
202508172128,251,126.69699860,35.42660904,2,28222,-999,0,-999
202508172128,252,126.47783661,35.28366089,2,20171,-999,0,-999
202508172128,253,128.89074707,35.22980881,2,24025,-999,0,-999
202508172128,254,127.12860107,35.37131119,2,16102,-999,0,-999
202508172128,257,129.02009583,35.30736923,2,24791,-999,0,-999
202508172128,258,127.21225739,34.76335144,2,18240,-999,-999,-999
202508172128,259,126.78408051,34.64456940,2,19026,-999,0,-999
202508172128,260,126.91950989,34.68886185,1,6899,-999,10,-999
202508172128,261,126.56906891,34.55374908,1,15480,-999,0,-999
202508172128,262,127.27571869,34.61825943,1,25267,-999,0,-999
202508172128,263,128.28811646,35.32257843,2,24981,-999,0,-999
202508172128,264,127.74537659,35.51137924,2,28433,-999,0,-999
202508172128,266,127.69139862,34.94340134,2,20269,-999,0,-999
202508172128,268,126.25846100,34.47296143,2,15042,-999,0,-999
202508172128,269,126.03050232,35.34690094,2,20000,-999,0,-999
202508172128,271,128.91448975,36.94361115,1,29041,-999,0,-999
202508172128,272,128.51687622,36.87182999,1,34603,-999,0,-999
202508172128,273,128.14878845,36.62726974,1,50000,-999,0,-999
202508172128,276,129.04005432,36.43510056,2,37004,-999,0,-999
202508172128,277,129.40925598,36.53337097,1,39286,-999,0,-999
202508172128,278,128.68864441,36.35609818,1,45698,-999,0,-999
