#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100029    90   22.2   93.9   21.2   21.4   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1002.5
202508100029    92   23.4   68.0   17.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.9 1002.4
202508100029    93   20.0   94.2   19.0   19.0   22.1   24.3   26.6   27.7   28.3   28.7   27.8   25.7   21.0   18.1  993.2 1004.3
202508100029    95   19.3   94.0   18.3   19.0   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.5 1004.4
202508100029    96   21.9   94.7   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.3 1003.6
202508100029    98   19.6   96.5   19.0   18.2   20.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.2 1003.5
202508100029    99   20.0   99.8   20.0   19.5   22.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.4 1003.9
202508100029   100   15.0   96.3   14.4   13.5   16.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  919.2 1006.1
202508100029   101   19.9   90.8   18.4   18.3   22.4   25.7   26.8   27.5   28.5   28.5   26.5   24.1   19.6   16.0  994.9 1003.7
202508100029   102   21.9   82.4   18.8   19.4   21.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.6 1002.7
202508100029   104   21.3   80.5   17.8   18.4   21.4   25.2   26.2   27.4   27.5   27.2   25.8   23.9   18.4   14.6  993.2 1001.8
202508100029   105   23.2   65.0   16.3   19.4   20.5   24.3   25.2   26.2   27.5   27.4   26.9   24.6   19.0   16.4  999.7 1002.8
202508100029   106   20.3   78.5   16.4   18.0   20.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.3 1003.0
202508100029   108   22.9   82.4   19.7   19.9   22.5   24.0   24.9   25.7   26.0   27.4   26.1   25.1   19.9   16.7  992.4 1002.2
202508100029   110   21.6  100.0   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.3 1003.4
202508100029   112   23.8   76.1   19.3   19.4   23.4   25.8   26.0   26.4   26.9   26.6   25.7   23.5   19.2   15.3  995.0 1002.8
202508100029   113   23.7   89.0   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.5 1003.3
202508100029   114   20.3   78.2   16.4   17.0   20.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  985.8 1003.0
202508100029   115   23.9   86.3   21.5   22.1   22.6   24.2   24.8   26.0   25.6   24.4   22.7   21.1   16.3   13.9  978.0 1002.9
202508100029   116   20.0   96.7   19.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  933.9 1003.4
202508100029   119   21.7   89.8   20.0   20.6   22.2   25.4   26.3   27.2   27.3   27.0   25.7   23.6   18.4   14.7  998.3 1002.9
202508100029   121   18.1   94.9   17.3   16.9   20.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  977.2 1004.9
202508100029   127   21.5   86.6   19.2   20.2   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.4 1002.5
202508100029   129   21.9   92.6   20.6   20.2   23.9   24.4   25.3   26.1   26.3   26.3   25.0   24.2   18.3   17.3  999.4 1002.3
202508100029   130   22.5   76.9   18.2   20.1   22.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.2 1002.8
202508100029   131   23.1   79.6   19.4   22.2   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.3 1002.0
202508100029   133   22.9   92.6   21.6   22.4   23.7   26.7   27.4   28.2   28.4   28.7   28.2   26.1   21.5   17.9  994.5 1002.2
202508100029   135   21.2   94.3   20.2   21.9   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.7 1002.5
202508100029   136   22.1   94.3   21.1   22.1   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.7 1003.8
202508100029   137   21.9   92.8   20.7   21.6   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.0 1002.0
202508100029   138   22.7   86.8   20.4   22.1   24.2   26.3   27.0   27.8   27.9   27.0   24.7   23.2   19.2   16.7 1002.3 1002.8
202508100029   140   23.4   91.5   21.9   22.4   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.4 1002.6
202508100029   143   22.6   91.1   21.1   22.7   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.3 1002.5
202508100029   146   23.3   87.9   21.2   23.2   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.0 1001.9
202508100029   151   21.9   96.0   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.0 1003.0
202508100029   152   21.5   93.0   20.3   21.9   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.0 1002.3
202508100029   155   22.6   96.0   21.9   23.7   24.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.8 1002.8
202508100029   156   22.0   95.0   21.2   24.4   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.5 1001.5
202508100029   159   23.0   86.9   20.7   21.5   24.2   25.4   24.8   25.4   25.8   27.8   26.5   24.9   19.5   18.2  994.9 1002.8
202508100029   160   20.4   99.9   20.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.9
202508100029   162   22.1   96.1   21.4   22.5   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.9 1002.5
202508100029   163   23.7   95.0   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.5 1000.6
202508100029   165   24.4  100.0   24.4   24.2   24.9   26.1   26.4   26.7   27.0   27.0   26.7   24.5   20.7   17.4  995.2 1000.3
202508100029   167   22.5   96.0   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.9 1002.9
202508100029   168   22.5   92.5   21.2   22.0   24.5   24.6   25.3   26.8   27.3   28.4   27.2   24.7   19.5   17.3  995.3 1002.8
202508100029   169   26.6   95.1   25.8   25.5   25.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.9 1000.3
202508100029   170   23.5   97.1   23.0   23.8   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.6 1001.6
202508100029   172   22.1   97.7   21.7   22.9   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.9 1000.9
202508100029   174   20.8   97.0   20.3   21.9   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.5 1001.3
202508100029   175   22.4   99.9   22.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  949.0 1002.2
202508100029   177   22.9   87.1   20.6   21.6   22.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.3 1001.5
202508100029   181   21.7   89.8   20.0   20.6   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.8 1002.7
202508100029   182   27.7   89.0   25.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.2 1001.9
202508100029   184   28.3   78.7   24.2   26.4   26.7   29.1   30.4   30.6   30.5   30.2   28.3   27.9   25.3   19.8  999.0 1001.3
202508100029   185   27.3   95.6   26.5   26.9   27.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.2 1002.2
202508100029   188   27.3   96.8   26.7   26.6   27.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.3 1002.6
202508100029   189   27.7   93.2   26.5   27.4   27.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.0 1002.8
202508100029   192   19.8   96.6   19.2   23.1   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.6 1003.0
202508100029   201   20.0   94.5   19.1   18.7   21.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1003.9
202508100029   202   21.3   93.9   20.3   19.2   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.2 1003.6
202508100029   203   20.1   99.7   20.1   18.5   21.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.1 1004.3
202508100029   211   20.2   90.7   18.6   19.2  -99.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  980.8 1003.9
202508100029   212   20.9   94.1   19.9   19.5   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.2 1004.3
202508100029   216   15.0   93.5   14.0   14.9   17.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  924.7 1005.4
202508100029   217   18.0   91.9   16.7   18.0   22.3   24.3   26.4   26.1   26.7  -99.7  -99.7  -99.7  -99.7  -99.7  969.1 1004.9
202508100029   221   17.7   99.8   17.7   16.9   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  973.7 1004.1
202508100029   226   20.7   99.6   20.6   19.5   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  983.0 1002.6
202508100029   229   23.2   86.4   20.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.5 1001.4
202508100029   230   20.9   99.9   20.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.3 1003.7
202508100029   232   20.2   98.9   20.0   19.9   23.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.2 1003.0
202508100029   235   23.2   90.6   21.6   22.8   24.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.1 1001.2
202508100029   236   22.7   91.5   21.2   22.2   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.7 1002.2
202508100029   238   22.2   96.2   21.6   22.3   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.5 1002.1
202508100029   239   22.3   88.7   20.3   21.5   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.9 1002.1
202508100029   243   22.5   94.3   21.5   22.6   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.8 1002.2
202508100029   244   21.5   96.7   21.0   22.2   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  973.8 1001.8
202508100029   245   22.4   94.7   21.5   22.1   23.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.2 1002.0
202508100029   247   21.9   99.9   21.9   21.9   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.4 1002.6
202508100029   248   20.7   99.9   20.7   21.3   22.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  956.7 1002.5
202508100029   251   22.1   85.4   19.5   22.2   23.2   24.8   26.7   27.2   27.2  -99.7  -99.7  -99.7  -99.7  -99.7  994.1 1000.8
202508100029   252   22.0   91.0   20.5   21.5   23.0   24.8   25.3   27.5   27.5  -99.7  -99.7  -99.7  -99.7  -99.7  996.5 1000.8
202508100029   253   22.6   99.4   22.5   23.2   25.1   27.2   28.0   28.2   28.2  -99.7  -99.7  -99.7  -99.7  -99.7  997.4 1003.6
202508100029   254   21.5   96.7   21.0   20.8   22.4   20.0   25.9   26.4   26.8  -99.7  -99.7  -99.7  -99.7  -99.7  988.1 1002.9
202508100029   255  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
202508100029   257   22.1   99.8   22.1   22.1   24.0   25.2   25.0   25.3   26.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.5 1002.2
202508100029   258   22.5   99.9   22.5   22.8   23.5   24.1   25.2   25.2   26.2   26.3   24.7  -99.7  -99.7  -99.7 1002.6 1002.8
202508100029   259   23.4   99.8   23.4   23.8   24.6   25.7   26.1   26.4   27.5  -99.7  -99.7  -99.7  -99.7  -99.7 1000.2 1002.0
202508100029   260   23.4   98.3   23.1   23.2   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.5 1001.5
202508100029   261   23.8   99.0   23.6   23.9   24.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1001.9
202508100029   262   23.1   95.8   22.4   23.6   24.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.3 1002.2
202508100029   263   21.5   96.2   20.9   22.1   23.6   24.6   25.7   26.7   27.6  -99.7  -99.7  -99.7  -99.7  -99.7 1001.0 1002.6
202508100029   264   22.1   92.1   20.8   21.8   23.2   24.1   24.5   26.6   28.0  -99.7  -99.7  -99.7  -99.7  -99.7  985.4 1002.7
202508100029   266   21.7   96.4   21.1   23.7   23.6   24.5   25.0   26.6   27.3  -99.7  -99.7  -99.7  -99.7  -99.7  992.9 1003.0
202508100029   268   25.3   96.9   24.8   24.0   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.0 1000.1
202508100029   269   22.5   99.9   22.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.2 1001.4
202508100029   271   17.2   96.2   16.6   16.6   19.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  967.3 1004.6
202508100029   272   19.8   99.5   19.7   19.5   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  979.4 1003.6
202508100029   273   20.3   98.2   20.0   19.9   22.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.7 1002.5
202508100029   276   21.8   99.9   21.8   21.7   23.7   24.7   25.3   26.5   26.2  -99.7  -99.7  -99.7  -99.7  -99.7  979.2 1002.9
202508100029   277   22.1   90.7   20.5   21.5   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.0 1002.7
202508100029   278   22.2   99.7   22.2   21.8   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.7 1002.0
202508100029   279   23.0   93.3   21.9   22.8   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.3 1001.9
202508100029   281   21.8   99.0   21.6   21.7   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.2 1003.2
202508100029   283   21.8   95.4   21.0   22.1   23.5   26.6   27.1   27.3   28.3  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1003.0
202508100029   284   21.9   90.9   20.3   21.7   23.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  976.1 1002.0
202508100029   285   22.6   99.1   22.5   23.2   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.8 1002.9
202508100029   288   22.9   91.4   21.4   24.2   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.9 1001.9
202508100029   289   21.6   99.5   21.5   21.5   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.7 1003.5
