TIME,STN,TA,HM,TD,TG,TS,TE0.05,TE0.1,TE0.2,TE0.3,TE0.5,TE1.0,TE1.5,TE3.0,TE5.0,PA,PS
202508161914,90,29.8,62.8,22.0,28.2,29.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.4,1010.4
202508161914,92,29.4,66.0,22.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.1,1010.5
202508161914,93,29.0,71.6,23.4,27.4,29.0,31.2,31.2,30.0,29.1,28.2,27.1,25.7,22.2,18.7,1001.5,1012.3
202508161914,95,28.0,72.8,22.7,27.3,27.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.1,1012.6
202508161914,96,26.9,88.1,24.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.2,1012.4
202508161914,98,27.0,79.6,23.2,25.7,27.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.4,1012.5
202508161914,99,26.8,84.9,24.0,26.7,29.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.7,1013.2
202508161914,100,24.0,78.8,20.1,21.9,22.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,928.0,1012.7
202508161914,101,29.4,63.7,21.8,27.6,29.6,31.9,31.7,31.1,29.3,27.7,26.2,24.5,19.9,16.2,1003.0,1011.5
202508161914,102,26.4,88.3,24.3,26.9,26.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.5,1010.6
202508161914,104,30.5,60.3,21.9,28.3,28.5,31.8,31.2,29.8,28.5,28.0,25.2,23.6,18.8,14.8,1001.4,1009.8
202508161914,105,32.5,48.7,20.3,28.4,30.0,30.1,29.6,30.1,29.4,28.6,26.9,23.8,18.8,16.0,1007.7,1010.7
202508161914,106,26.9,74.0,21.9,24.3,28.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.8,1011.4
202508161914,108,29.0,65.9,22.0,26.0,27.1,28.1,27.3,24.4,23.2,26.8,25.6,25.7,22.1,17.2,1001.8,1011.4
202508161914,110,28.1,88.0,25.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1011.0,1013.1
202508161914,112,27.5,85.7,24.9,25.7,28.6,28.6,28.7,28.2,26.7,25.8,25.2,23.7,20.5,15.8,1005.0,1012.8
202508161914,113,27.3,86.0,24.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1012.4,1013.2
202508161914,114,29.3,69.6,23.2,26.4,28.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,994.5,1011.3
202508161914,115,26.5,85.1,23.8,23.9,26.6,28.2,28.7,27.8,26.2,25.5,22.7,21.3,16.5,14.1,987.2,1012.1
202508161914,116,23.4,88.2,21.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,943.7,1013.0
202508161914,119,28.0,75.5,23.3,26.9,28.2,29.9,29.5,28.3,27.7,27.3,25.3,23.8,19.1,15.0,1008.1,1012.6
202508161914,121,27.1,78.8,23.1,25.4,27.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,985.3,1012.3
202508161914,127,28.5,73.1,23.2,26.8,28.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.5,1011.4
202508161914,129,27.6,86.0,25.0,26.2,29.2,30.5,30.8,30.2,28.3,27.3,24.9,24.6,18.8,17.6,1010.3,1013.2
202508161914,130,28.1,83.7,25.1,25.6,30.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.2,1011.7
202508161914,131,31.1,59.1,22.2,27.5,28.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.4,1012.0
202508161914,133,30.1,63.3,22.4,28.1,30.3,34.1,32.4,31.2,30.2,29.2,27.6,26.0,22.2,18.4,1005.0,1012.6
202508161914,135,27.9,71.5,22.3,27.2,28.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,984.9,1012.3
202508161914,136,29.6,67.9,23.1,28.6,30.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.9,1012.7
202508161914,137,29.3,65.9,22.3,25.1,29.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1000.6,1011.4
202508161914,138,33.1,49.1,21.0,28.0,31.5,31.6,31.0,29.4,28.3,26.7,24.5,23.3,19.5,16.9,1010.8,1011.2
202508161914,140,28.1,77.2,23.7,26.2,30.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1010.6,1013.8
202508161914,143,32.2,53.7,21.6,30.8,30.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.3,1011.4
202508161914,146,29.4,71.0,23.6,27.3,28.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.1,1012.9
202508161914,151,30.3,73.0,24.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1011.1,1012.1
202508161914,152,30.0,66.8,23.2,28.0,30.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1002.1,1011.2
202508161914,155,29.6,77.8,25.3,29.0,30.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.5,1012.4
202508161914,156,30.0,69.4,23.8,29.6,29.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.9,1012.8
202508161914,159,29.4,69.7,23.3,26.5,29.1,31.1,30.4,28.3,27.1,27.9,26.2,25.1,20.0,18.5,1004.4,1012.2
202508161914,160,25.9,89.2,24.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.9
202508161914,162,27.2,79.1,23.3,26.4,29.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.0,1012.6
202508161914,163,28.8,68.0,22.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1012.3,1013.4
202508161914,165,29.0,75.9,24.3,26.7,29.1,29.8,28.8,28.8,28.2,28.8,26.1,24.2,21.1,17.7,1008.4,1013.5
202508161914,167,30.1,72.0,24.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1012.0,1012.9
202508161914,168,28.6,71.1,22.9,28.0,29.5,28.6,29.5,28.3,29.0,29.1,26.3,25.0,20.3,17.5,1005.8,1013.2
202508161914,169,26.1,92.6,24.8,27.9,26.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.0,1013.6
202508161914,170,28.8,70.0,22.8,28.9,28.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.5,1013.5
202508161914,172,28.8,74.0,23.7,27.5,28.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.7,1012.6
202508161914,174,26.1,82.4,22.9,25.8,27.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,993.1,1011.8
202508161914,175,23.9,91.5,22.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,961.3,1014.9
202508161914,177,28.4,76.1,23.8,26.9,27.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.0,1012.1
202508161914,181,28.9,71.0,23.1,27.4,29.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.9,1012.7
202508161914,182,28.3,82.0,24.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1011.4,1014.2
202508161914,184,29.5,68.6,23.1,29.2,33.5,33.0,33.5,32.6,30.6,30.0,28.5,27.9,24.9,19.6,1011.1,1013.4
202508161914,185,28.2,80.2,24.5,27.5,35.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.7,1013.8
202508161914,188,28.6,76.7,24.1,27.3,30.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1012.0,1014.3
202508161914,189,29.6,68.2,23.1,29.1,29.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.3,1014.1
202508161914,192,29.6,74.4,24.6,27.4,30.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.1,1012.4
202508161914,201,26.0,89.7,24.2,25.3,26.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.0,1013.5
202508161914,202,28.6,71.7,23.0,27.5,28.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.4,1012.7
202508161914,203,28.4,80.2,24.7,27.4,29.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.4,1013.4
