latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.9104,130.82896,328.75,0.4,0.6,2025-08-17,1230,N20,VIIRS,n,2.0NRT,295.46,3.83,D
37.48262,129.06,326.29,0.41,0.6,2025-08-17,1232,N20,VIIRS,n,2.0NRT,292.97,4.1,D
34.92263,127.71153,335.15,0.36,0.57,2025-08-17,1412,N20,VIIRS,n,2.0NRT,299.46,3.26,D
34.92358,127.71185,335.36,0.36,0.57,2025-08-17,1412,N20,VIIRS,n,2.0NRT,299.45,4.33,D
35.97029,126.60951,308.53,0.41,0.37,2025-08-18,0232,N20,VIIRS,n,2.0NRT,295.4,2.94,N
37.08278,128.2832,305.6,0.45,0.39,2025-08-18,0232,N20,VIIRS,n,2.0NRT,285.02,1.72,N
33.63028,130.76251,308.15,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,291.8,1.09,N
33.90871,130.82263,324.7,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,293.69,3.18,N
33.91708,130.82529,310.5,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,293.14,0.82,N
33.92127,130.82658,308.51,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,293.6,0.82,N
33.92336,130.83737,323.7,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,293.92,4.48,N
33.9265,130.84344,311.09,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,293.78,3.38,N
33.94323,130.82841,311.89,0.45,0.47,2025-08-18,0234,N20,VIIRS,n,2.0NRT,294.09,0.87,N
37.02567,128.32159,332.4,0.44,0.46,2025-08-18,1353,N20,VIIRS,n,2.0NRT,301.95,4.39,D
33.63075,130.7663,310.48,0.42,0.38,2025-08-19,0213,N20,VIIRS,n,2.0NRT,293.15,1.51,N
33.92524,130.83961,307.06,0.42,0.38,2025-08-19,0213,N20,VIIRS,n,2.0NRT,291.71,1.69,N
34.90742,127.7457,301.85,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,284.22,0.76,N
34.91072,127.74642,303.47,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,285.95,0.76,N
34.91286,127.75429,313.33,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,286.72,2.18,N
34.91642,127.70854,308.65,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,283.7,0.99,N
34.92072,127.74734,316.04,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,289.41,2.49,N
34.92134,127.74312,309.35,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,289.52,2.49,N
34.92402,127.74806,332.07,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,291.11,2.49,N
34.92669,127.75299,311.21,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,290.98,2.03,N
34.92731,127.74879,312.61,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,291.14,1.45,N
34.93061,127.74952,307.01,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,291.77,1.45,N
35.08257,128.98944,324.79,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,292.89,2.79,N
35.09923,128.86368,326.24,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,291.7,2.17,N
35.09989,128.85951,315.9,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,290.8,2.17,N
35.10125,128.82957,317.19,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,293.49,2.03,N
35.99754,129.39101,314.51,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.07,4.54,N
36.00081,129.3918,310.63,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.09,5.68,N
36.00476,129.38838,313.79,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.69,5.78,N
36.00872,129.38496,316.27,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.05,4.77,N
36.01855,129.38736,319.43,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.38,4.76,N
36.01923,129.38315,315.17,0.38,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.33,4.72,N
36.02769,129.39398,308.36,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,295.58,2.37,N
36.03029,129.39902,319.47,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,296.72,5.26,N
36.03097,129.39479,310.85,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,295.74,2.37,N
37.22911,128.32442,301.63,0.39,0.36,2025-08-19,0213,N20,VIIRS,n,2.0NRT,283.84,0.75,N
37.48588,126.63955,308.77,0.42,0.38,2025-08-19,0213,N20,VIIRS,n,2.0NRT,292.2,2.43,N
37.49276,126.641,315.94,0.42,0.38,2025-08-19,0213,N20,VIIRS,n,2.0NRT,292.27,3.3,N
33.15089,130.19849,339.29,0.44,0.38,2025-08-19,1334,N20,VIIRS,n,2.0NRT,299.96,7.11,D
33.15133,130.20154,336.34,0.44,0.38,2025-08-19,1334,N20,VIIRS,n,2.0NRT,299.14,7.29,D
33.9075,130.82744,333.87,0.48,0.4,2025-08-19,1334,N20,VIIRS,n,2.0NRT,300.62,2.72,D
33.92393,130.84035,332.34,0.48,0.4,2025-08-19,1334,N20,VIIRS,n,2.0NRT,297.9,4.09,D
34.91452,127.75121,336.43,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.53,6.63,D
34.91513,127.75549,331.27,0.39,0.36,2025-08-19,1334,N20,VIIRS,l,2.0NRT,301.94,5.3,D
34.92448,127.74914,340.6,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.74,3.4,D
34.92509,127.7534,334.23,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.79,6.67,D
34.9278,127.74844,332.08,0.39,0.36,2025-08-19,1334,N20,VIIRS,l,2.0NRT,303.32,3.4,D
35.11042,128.10596,336.26,0.4,0.37,2025-08-19,1334,N20,VIIRS,n,2.0NRT,303.4,6.51,D
35.13091,126.76411,330.26,0.38,0.36,2025-08-19,1334,N20,VIIRS,l,2.0NRT,302.73,5.3,D
35.86434,127.10401,333.68,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,301.59,2.59,D
36.28559,127.84869,330.54,0.4,0.37,2025-08-19,1334,N20,VIIRS,n,2.0NRT,295.74,0.7,D
36.98198,126.70366,337.4,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,301.84,6.15,D
36.98324,126.71229,330.32,0.39,0.36,2025-08-19,1334,N20,VIIRS,l,2.0NRT,303.02,6.79,D
36.98339,126.68997,341.09,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.43,5.86,D
36.98528,126.70293,348.06,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.92,6.15,D
36.98857,126.70218,331.11,0.39,0.36,2025-08-19,1334,N20,VIIRS,l,2.0NRT,301.16,4.68,D
37.02745,128.31996,333.33,0.42,0.37,2025-08-19,1334,N20,VIIRS,n,2.0NRT,300.56,2.76,D
37.32457,126.74633,344.55,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,300.72,4.78,D
37.32787,126.74559,346.87,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.9,4.74,D
37.33934,126.70705,337.5,0.39,0.36,2025-08-19,1334,N20,VIIRS,n,2.0NRT,302.32,5.19,D
