latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.91303,127.75578,333.12,0.49,0.4,2025-08-29,1346,N20,VIIRS,n,2.0NRT,302.68,4.81,D
34.91611,127.74978,345.18,0.49,0.4,2025-08-29,1346,N20,VIIRS,n,2.0NRT,303.24,9.88,D
36.00123,129.39105,335.96,0.4,0.44,2025-08-29,1346,N20,VIIRS,n,2.0NRT,295.38,3.99,D
37.48029,126.4511,332.04,0.46,0.39,2025-08-29,1346,N20,VIIRS,n,2.0NRT,296.68,2.99,D
39.44328,126.0218,325.62,0.54,0.42,2025-08-30,0205,N20,VIIRS,n,2.0NRT,291.87,4.96,N
39.44607,126.02238,324.2,0.54,0.42,2025-08-30,0205,N20,VIIRS,n,2.0NRT,291.89,3.97,N
33.80006,130.99399,318.15,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.11,2.62,N
33.80075,130.98982,327.47,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.28,2.62,N
33.91731,130.84253,316.81,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.19,2.92,N
33.92197,130.83502,311.49,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.08,1.5,N
33.9232,130.84824,310.48,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.07,1.86,N
33.94376,130.82724,328.95,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.36,4.14,N
34.91195,127.75185,320.69,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.6,2.15,N
34.91258,127.74731,308.2,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.54,2.57,N
34.9146,127.7543,327.57,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.28,3.22,N
34.91537,127.75254,314.11,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.3,2.15,N
34.91961,127.76927,308.81,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.39,2.76,N
34.92022,127.76476,307.08,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.23,1.06,N
34.92267,127.74661,323.25,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.18,3.45,N
34.92389,127.73753,308.21,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.8,1.87,N
34.92548,127.75185,310.36,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.31,2.8,N
34.92731,127.73823,323.05,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.46,1.87,N
34.9289,127.75252,313.99,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.75,1.63,N
34.92952,127.74799,313.98,0.42,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.36,1.81,N
35.09929,128.86215,319.98,0.39,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.41,2.33,N
35.37011,128.48526,313.53,0.4,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.53,1.55,N
35.44609,129.35184,309.27,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,298.91,3.87,N
35.49996,129.35323,310.43,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.83,4.37,N
35.99965,129.39825,311.65,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,298.08,3.08,N
36.00817,129.38681,317.1,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,298.29,3.22,N
36.01006,129.3739,317.59,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.05,2.37,N
36.01937,129.38042,311.3,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,296.7,1.79,N
36.02536,129.38622,313.57,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.71,2.98,N
36.02741,129.39557,311.16,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.62,1.29,N
36.03009,129.4006,312.44,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,298.47,1.29,N
36.03072,129.3963,315.68,0.39,0.36,2025-08-30,0207,N20,VIIRS,n,2.0NRT,298.49,1.29,N
36.98114,126.70691,314.09,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.43,2.81,N
36.9831,126.69099,314.8,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.92,2.61,N
36.98375,126.68568,309.11,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,292.68,2.2,N
36.98413,126.71289,333.01,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.77,6.85,N
36.98543,126.70228,310.18,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.72,2.81,N
36.98674,126.69167,311.97,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.57,2.61,N
36.98907,126.70295,308.56,0.47,0.4,2025-08-30,0207,N20,VIIRS,n,2.0NRT,293.0,2.38,N
37.42219,129.17473,309.47,0.4,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,295.14,1.66,N
37.48249,129.05005,329.36,0.4,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.45,6.55,N
37.48523,129.05527,335.99,0.4,0.37,2025-08-30,0207,N20,VIIRS,n,2.0NRT,297.35,7.51,N
33.79898,130.99229,339.31,0.42,0.38,2025-08-30,1325,N20,VIIRS,n,2.0NRT,303.28,5.2,D
34.91803,127.74625,332.62,0.38,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,304.78,5.34,D
34.92196,127.74969,341.52,0.38,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,305.05,6.2,D
34.92394,127.74059,338.3,0.38,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,306.73,5.41,D
34.92588,127.7531,335.18,0.38,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,305.69,4.29,D
35.07135,128.05692,335.22,0.38,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,306.44,3.75,D
35.11565,128.10298,336.35,0.38,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,305.97,4.25,D
35.12284,128.10568,337.86,0.38,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,305.86,4.41,D
35.23769,128.16663,334.03,0.38,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,308.92,6.31,D
35.24951,128.6097,331.38,0.39,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,304.44,5.66,D
35.37086,128.48831,334.6,0.39,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,308.64,6.97,D
35.71702,128.16241,330.21,0.38,0.36,2025-08-30,1327,N20,VIIRS,l,2.0NRT,301.57,2.03,D
35.95855,128.254,335.05,0.39,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,302.49,2.24,D
36.13598,127.53841,341.92,0.38,0.36,2025-08-30,1327,N20,VIIRS,n,2.0NRT,300.89,3.74,D
