#START7777
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202508100113    90  288.0    0.8  315.0    1.4  222.9    0.7   22.1    0.0    0.0    0.0    0.0    0.0   93.6 1000.1 1002.1   21.0
202508100113    92  270.0    3.2  280.0    3.8  260.0    3.2   23.1  -99.7    0.0    0.0    0.0    0.0   69.0  994.5 1002.1   17.1
202508100113    93   25.2    0.5   19.7    0.6   29.1    0.6   19.7    0.0    0.0    0.0    0.0    0.0   94.4  992.7 1003.8   18.8
202508100113    95   75.9    0.1   76.0    0.2   66.4    0.3   18.6    0.0    0.0    0.0    0.0    0.0   98.3  986.1 1004.1   18.3
202508100113    96  129.0    4.9  138.4    7.0  120.1    5.4   22.1    0.0    0.0    0.0    0.0    0.0   98.1  992.1 1003.4   21.8
202508100113    98  336.2    0.6  323.7    0.8   21.8    0.2   19.2    0.0    0.0    0.0    0.0    0.0   99.9  989.8 1003.1   19.2
202508100113    99  356.0    0.0   19.7    0.0   76.9    0.1   19.5    0.0    0.0    0.0    0.0    0.0   99.2 1000.0 1003.5   19.4
202508100113   100    0.0    0.0    0.0    0.0  346.7    0.4   14.3    0.0    0.0    0.0    0.0    0.0   97.1  918.8 1005.9   13.8
202508100113   101  307.9    1.3  324.5    1.3  318.6    1.1   19.6    0.0    0.0    0.0    0.0    0.0   91.5  994.4 1003.2   18.2
202508100113   102  319.1    1.8  318.0    2.1  319.7    1.7   20.6    0.0    0.0    0.0    0.0    0.0   92.6  998.4 1002.6   19.4
202508100113   104  185.3    0.6  198.9    1.1  190.2    0.5   20.5    0.0    0.0    0.0    0.0    0.0   80.9  992.8 1001.5   17.1
202508100113   105  247.4    2.5  253.1    2.8  250.3    2.6   23.0    0.0    0.0    0.0    0.0    0.0   63.4  999.4 1002.5   15.7
202508100113   106  236.0    2.2  244.0    2.5  231.1    2.4   20.8    0.0    0.0    0.0    0.0    0.0   71.6  997.9 1002.6   15.5
202508100113   108  104.0    1.2  150.2    1.4   38.9    1.5   22.6    0.0    0.0    0.0    0.0    0.0   83.5  991.9 1001.7   19.7
202508100113   110  350.0    2.4  360.0    2.6  340.0    2.4   20.9  -99.7    0.0    0.0    0.0    0.0  100.0 1000.9 1003.0   20.9
202508100113   112   78.7    2.4   18.9    3.7   48.5    2.5   23.4    0.0    0.0    0.0    0.0    0.0   75.6  994.6 1002.5   18.8
202508100113   113   60.0    2.3   60.0    2.5   40.0    2.2   23.2  -99.7    0.0    0.0    0.0    0.0   88.0 1002.2 1003.0   21.1
202508100113   114  109.7    0.4  115.8    0.5   75.3    0.2   19.9    0.0    0.0    0.0    0.0    0.0   80.2  985.1 1002.3   16.4
202508100113   115  220.4    3.3  224.0    4.6  216.5    2.9   24.0    0.0    0.0    0.0    0.1    0.0   88.0  977.7 1002.6   21.9
202508100113   116   10.0    1.9   16.0    4.1   10.7    1.9   19.9    0.0    0.0    0.0    0.0    0.0   96.0  933.3 1002.8   19.2
202508100113   119  123.4    0.8   32.3    1.2   27.1    1.1   21.7    0.0    0.0    0.0    0.0    0.0   90.6  997.8 1002.4   20.1
202508100113   121   40.4    1.0   33.8    1.1   28.7    0.9   17.8    0.0    0.0    0.0    0.0    0.0   95.7  976.7 1004.4   17.1
202508100113   127  119.6    0.7   98.5    0.9  197.7    0.3   20.2    0.0    0.0    0.0    0.1    0.0   89.0  988.6 1001.8   18.3
202508100113   129  316.9    0.0    0.0    0.0   52.0    0.1   21.7    0.0    0.0    0.0    0.0    0.0   93.7  999.5 1002.4   20.6
202508100113   130  290.0    0.9  290.3    1.7  302.1    1.4   21.4    0.0    0.0    0.0    0.0    0.0   82.6  996.7 1002.3   18.3
202508100113   131   50.7    1.4   53.4    1.7   73.0    1.0   22.6    0.0    0.0    0.0    0.3    0.0   82.4  995.3 1002.0   19.5
202508100113   133  350.2    0.5  324.2    1.1  331.4    0.9   22.4    0.0    0.0    0.0    0.6    0.0   94.8  994.6 1002.3   21.5
202508100113   135  155.1    1.0  157.6    1.5  160.0    1.3   21.2    0.0    0.0    0.0    1.3    0.0   94.3  974.6 1002.4   20.2
202508100113   136  103.4    0.2   84.4    0.4   70.8    0.3   21.7    0.0    0.0    0.0    1.4    0.0   93.5  987.1 1003.2   20.6
202508100113   137  321.8    0.6  315.2    1.0  330.6    0.6   21.7    0.0    0.0    0.0    1.3    0.0   92.3  990.8 1001.8   20.4
202508100113   138  203.6    2.5  195.4    3.3  225.9    2.4   22.9    0.0    0.0    0.0    3.0    0.0   88.5 1001.7 1002.2   20.9
202508100113   140  136.9    1.4  135.8    1.6  148.2    0.9   23.3    1.0    0.6    0.7    1.6    0.7   92.6  999.5 1002.7   22.0
202508100113   143  154.7    0.4  151.9    0.5  137.2    0.7   22.5    0.0    0.0    0.0    1.1    0.0   91.7  996.2 1002.4   21.1
202508100113   146  285.1    1.2  287.8    1.3  297.3    0.9   22.8    1.0    0.9    1.8    1.8    1.8   90.7  995.6 1002.5   21.2
202508100113   151   10.0    1.9   10.0    2.1  360.0    1.6   21.9  -99.7    0.0    0.0    2.0    0.0   96.0 1001.6 1002.6   21.2
202508100113   152  339.5    1.6  331.8    1.9  326.6    1.5   21.4    0.0    0.0    0.0    2.1    0.0   92.1  992.6 1001.9   20.1
202508100113   155  250.0    0.8  266.0    1.5  238.0    0.8   22.5    1.0    0.0    0.3    6.6    1.1   97.7  998.6 1002.6   22.1
202508100113   156    7.4    0.8  346.9    1.4    3.9    1.6   21.9    1.0    1.0    2.0   22.7    2.1   95.2  992.9 1000.9   21.1
202508100113   159   78.5    0.8   88.7    1.1   99.8    1.2   22.8    0.0    0.1    0.5    5.7    0.5   89.4  994.2 1002.1   21.0
202508100113   160   65.8    3.0   70.3    3.1   73.0    2.8   20.1    0.0    0.0    0.5    5.0    0.5   99.9  -99.7  -99.9   20.1
202508100113   162   40.7    3.1   35.1    3.7   44.8    2.6   21.6    1.0    1.0    6.9  -99.9    6.9   96.3  998.4 1002.0   21.0
202508100113   163  180.0    6.7  200.0    8.6  170.0    5.8   25.5  -99.7    0.2    0.5   29.2    2.2   93.0  998.9 1000.0   24.3
202508100113   165  158.8    4.8  162.9    6.4  170.1    5.4   24.7    0.0    0.1    0.3   29.3    4.6  100.0  995.3 1000.4   24.7
202508100113   167   90.0    1.4  120.0    2.9   70.0    1.8   22.5  -99.7    0.5    2.5   47.5    2.5   96.0 1001.7 1002.7   21.8
202508100113   168   94.8    3.1   87.4    3.5   94.0    2.9   22.3    0.0    0.1    3.9   29.3    3.9   93.9  994.9 1002.4   21.3
202508100113   169   11.0    5.5   22.0    6.8   10.6    5.5   24.6    1.0    0.0    1.2   49.1    1.4   96.1  992.1 1000.6   23.9
202508100113   170  130.0    4.2  142.0    5.2  137.5    3.4   23.6    0.0    5.3   10.5   59.3   11.1   97.1  997.2 1001.2   23.1
202508100113   172    9.8    3.1  348.6    3.9   13.7    3.5   22.2    1.0    1.3    3.6   20.2    4.2   97.7  995.0 1001.0   21.8
202508100113   174  180.2    2.6  175.2    3.2  186.7    1.7   20.8    1.0    0.0    0.4   31.9    0.4   95.6  982.4 1001.2   20.1
202508100113   175  226.2    3.0  222.3    5.8  211.3    3.7   23.4    0.0    0.0    8.0   68.5   17.0   99.8  948.5 1001.5   23.4
