#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100113   159   22.8   89.4   21.0   21.4   24.1   25.4   24.7   25.2   25.8   27.8   26.5   24.9   19.5   18.2  994.2 1002.1
202508100113   160   20.1   99.9   20.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.9
202508100113   162   21.6   96.3   21.0   22.2   22.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1002.0
202508100113   163   25.5   93.0   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.9 1000.0
202508100113   165   24.7  100.0   24.7   24.6   25.1   26.1   26.3   26.6   27.0   27.0   26.8   24.5   20.6   17.4  995.3 1000.4
202508100113   167   22.5   96.0   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.7 1002.7
202508100113   168   22.3   93.9   21.3   22.1   24.5   24.4   25.2   26.8   27.2   28.4   27.3   24.7   19.5   17.3  994.9 1002.4
202508100113   169   24.6   96.1   23.9   25.2   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.1 1000.6
202508100113   170   23.6   97.1   23.1   23.7   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.2 1001.2
202508100113   172   22.2   97.7   21.8   22.7   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.0 1001.0
202508100113   174   20.8   95.6   20.1   21.3   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.4 1001.2
202508100113   175   23.4   99.8   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  948.5 1001.5
202508100113   177   22.6   86.2   20.2   21.1   22.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.2 1001.4
202508100113   181   21.6   89.1   19.7   20.5   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.7 1002.6
202508100113   182   28.0   89.0   26.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.0 1001.7
202508100113   184   28.4   79.2   24.5   26.4   26.6   28.9   30.3   30.5   30.4   30.1   28.8   27.9   25.5   20.0  998.7 1001.0
202508100113   185   26.5   91.3   25.0   25.7   27.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.8 1001.8
202508100113   188   27.3   98.0   27.0   26.7   27.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.1 1002.4
202508100113   189   27.8   94.7   26.9   27.5   27.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.6 1002.4
202508100113   192   19.9   97.0   19.4   23.1   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.3 1002.7
202508100113   201   19.7   96.5   19.1   18.2   20.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.9 1003.4
202508100113   202   20.9   94.3   19.9   19.3   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.7 1003.1
202508100113   203   20.0   99.8   20.0   18.2   20.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.6 1003.8
202508100113   211   20.4   90.7   18.8   19.9  -99.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  980.4 1003.5
202508100113   212   20.6   92.9   19.4   19.9   21.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.7 1003.8
202508100113   216   14.7   95.5   14.0   14.5   17.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  924.3 1005.0
202508100113   217   17.3   92.6   16.1   17.1   21.8   24.0   26.2   25.9   26.6  -99.7  -99.7  -99.7  -99.7  -99.7  968.6 1004.4
202508100113   221   17.7   99.8   17.7   17.0   20.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  973.2 1003.6
202508100113   226   20.5   99.8   20.5   19.4   22.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  983.1 1002.7
202508100113   229   23.1   87.9   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.6 1001.5
202508100113   230   21.4   99.9   21.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.9 1003.3
202508100113   232   19.7   99.4   19.6   19.2   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.0 1002.8
