TIME,STN,WD1,WS1,WDS,WSS,WD10,WS10,TA,RE,RN-15m,RN-60m,RN-12H,RN-DAY,HM,PA,PS,TD
202508100157,90,276.0,1.8,282.0,2.0,271.5,1.5,21.6,0.0,0.0,0.0,0.0,0.0,91.7,999.9,1001.9,20.2
202508100157,92,270.0,3.5,280.0,3.8,270.0,3.7,22.7,-99.7,0.0,0.0,0.0,0.0,68.0,994.3,1001.8,16.5
202508100157,93,359.0,0.0,315.2,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,95.9,992.4,1003.5,18.5
202508100157,95,74.3,0.8,61.9,1.1,53.7,0.8,18.5,0.0,0.0,0.0,0.0,0.0,97.3,986.0,1004.0,18.1
202508100157,96,125.5,4.9,132.4,5.6,121.0,4.2,21.4,0.0,0.0,0.0,0.0,0.0,99.3,992.0,1003.4,21.3
202508100157,98,17.7,0.5,11.1,0.6,25.6,0.4,19.0,0.0,0.0,0.0,0.0,0.0,99.9,989.6,1003.0,19.0
202508100157,99,89.8,0.7,81.5,1.1,79.5,0.4,19.6,0.0,0.0,0.0,0.0,0.0,99.9,999.8,1003.3,19.6
202508100157,100,256.1,0.0,256.1,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,97.3,918.5,1005.7,13.6
202508100157,101,332.2,1.6,321.9,2.1,299.0,1.3,19.6,0.0,0.0,0.0,0.0,0.0,92.4,994.1,1002.9,18.3
202508100157,102,0.0,1.5,11.1,1.7,348.8,1.4,21.2,0.0,0.0,0.0,0.0,0.0,88.1,997.9,1002.0,19.2
202508100157,104,196.9,1.1,192.7,1.7,183.7,1.0,20.8,0.0,0.0,0.0,0.0,0.0,77.6,992.4,1001.0,16.7
202508100157,105,250.9,3.8,262.6,4.9,253.2,3.4,23.0,0.0,0.0,0.0,0.0,0.0,62.4,999.0,1002.1,15.4
202508100157,106,223.0,2.8,233.0,3.5,218.0,2.9,20.7,0.0,0.0,0.0,0.0,0.0,72.4,997.6,1002.3,15.6
202508100157,108,334.4,0.7,328.5,0.8,332.9,0.4,22.3,0.0,0.0,0.0,0.0,0.0,85.1,991.5,1001.3,19.7
202508100157,110,360.0,1.2,10.0,1.5,350.0,1.1,21.0,-99.7,0.0,0.0,0.0,0.0,100.0,1000.4,1002.5,21.0
202508100157,112,26.8,1.7,11.8,2.8,25.2,2.2,23.2,0.0,0.0,0.0,0.0,0.0,77.0,994.2,1002.1,18.9
202508100157,113,30.0,3.2,40.0,3.8,30.0,3.0,23.7,-99.7,0.0,0.0,0.0,0.0,83.0,1001.7,1002.5,20.6
202508100157,114,80.4,0.3,75.4,0.5,74.6,0.4,19.5,0.0,0.0,0.0,0.0,0.0,83.2,984.7,1001.9,16.6
202508100157,115,211.8,2.6,205.4,3.1,210.3,2.4,24.0,0.0,0.0,0.0,0.1,0.0,87.7,977.5,1002.4,21.8
202508100157,116,7.0,1.9,20.0,3.3,7.5,1.8,19.8,0.0,0.0,0.0,0.0,0.0,90.0,933.0,1002.5,18.1
202508100157,119,294.3,1.1,298.9,1.5,296.1,1.1,21.5,0.0,0.0,0.0,0.0,0.0,89.7,997.5,1002.1,19.7
202508100157,121,74.7,0.9,85.6,1.3,91.0,1.0,17.6,0.0,0.0,0.0,0.0,0.0,96.2,976.0,1003.7,17.0
202508100157,127,203.3,0.9,213.8,1.4,171.9,0.3,20.0,0.0,0.0,0.0,0.1,0.0,90.5,988.4,1001.6,18.4
202508100157,129,20.6,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,94.6,999.5,1002.4,20.4
202508100157,130,304.7,1.8,298.6,2.4,308.5,1.6,20.9,0.0,0.0,0.0,0.0,0.0,82.5,996.4,1002.0,17.8
202508100157,131,46.4,1.5,42.2,2.1,45.2,1.9,22.2,0.0,0.0,0.0,0.3,0.0,82.5,995.1,1001.8,19.1
202508100157,133,38.6,1.4,20.2,1.8,28.1,0.8,22.6,0.0,0.0,0.0,0.5,0.0,92.1,994.3,1002.0,21.3
202508100157,135,162.6,0.5,160.3,0.9,159.3,0.1,21.1,0.0,0.0,0.0,0.8,0.0,94.5,974.2,1002.0,20.2
202508100157,136,103.3,0.1,137.8,0.3,86.4,0.1,21.5,0.0,0.0,0.0,1.4,0.0,94.8,987.1,1003.2,20.6
202508100157,137,293.5,0.7,278.6,1.1,294.5,0.2,21.6,0.0,0.0,0.0,0.9,0.0,95.0,990.5,1001.5,20.8
202508100157,138,239.1,1.5,249.3,2.2,232.1,1.6,22.9,0.0,0.0,0.0,3.0,0.0,87.8,1001.3,1001.8,20.8
202508100157,140,116.9,0.8,123.1,1.0,93.0,0.7,23.0,0.0,0.0,0.7,1.7,0.8,92.4,999.1,1002.3,21.7
202508100157,143,130.8,1.4,130.8,1.4,106.0,1.2,22.4,0.0,0.0,0.0,1.1,0.0,93.7,995.8,1002.0,21.3
202508100157,146,41.7,1.6,42.0,1.7,38.8,1.2,22.4,1.0,2.3,10.4,11.3,11.3,92.9,995.2,1002.1,21.2
202508100157,151,350.0,2.1,350.0,2.4,340.0,2.1,21.8,-99.7,0.0,0.0,2.0,0.0,96.0,1001.5,1002.5,21.1
202508100157,152,345.3,1.0,315.6,1.7,341.1,1.0,21.2,0.0,0.0,0.0,2.1,0.0,93.7,992.5,1001.8,20.1
202508100157,155,246.0,0.8,269.0,1.0,261.3,1.0,22.1,1.0,0.0,3.8,10.4,4.9,97.5,998.1,1002.1,21.7
202508100157,156,338.9,1.3,344.0,2.0,360.0,1.7,22.2,1.0,1.4,3.5,22.0,4.4,95.3,992.6,1000.6,21.4
202508100157,159,24.8,0.7,20.3,1.0,34.5,0.6,22.7,0.0,3.5,4.2,8.8,4.6,92.8,994.0,1001.9,21.5
202508100157,160,97.0,3.1,101.3,3.1,95.9,3.5,20.2,1.0,3.0,4.0,9.0,4.5,99.9,-99.7,-99.9,20.2
202508100157,162,54.3,1.1,51.6,1.5,43.9,2.0,21.6,1.0,1.6,3.3,-99.9,9.2,96.6,998.1,1001.7,21.0
202508100157,163,290.0,2.7,330.0,4.3,210.0,2.9,25.3,-99.7,0.0,0.4,26.6,2.4,95.0,999.4,1000.5,24.4
202508100157,165,181.8,2.8,188.6,2.8,166.4,3.8,24.8,1.0,2.0,2.2,29.0,6.7,100.0,995.3,1000.4,24.8
202508100157,167,90.0,1.6,120.0,3.1,80.0,2.2,22.4,-99.7,0.0,2.5,44.5,4.5,97.0,1001.3,1002.3,21.9
202508100157,168,84.6,3.6,87.4,4.5,53.6,2.5,22.3,0.0,0.6,1.0,22.3,4.8,94.4,994.7,1002.2,21.4
202508100157,169,14.0,4.1,31.0,5.6,15.9,5.1,24.3,1.0,0.0,0.0,49.1,1.4,96.8,991.4,999.9,23.8
202508100157,170,113.0,1.2,138.0,2.1,105.2,1.4,23.7,0.0,10.0,26.9,79.4,32.6,97.4,997.2,1001.2,23.3
202508100157,172,9.9,2.7,16.1,3.2,0.7,2.5,22.3,1.0,2.0,5.8,23.4,8.5,97.8,995.1,1001.1,21.9
202508100157,174,151.1,1.5,163.7,2.6,167.9,2.1,20.7,1.0,0.3,0.6,29.0,1.0,95.7,982.1,1000.9,20.0
202508100157,175,261.7,5.6,244.8,7.7,271.9,5.2,23.7,1.0,1.0,1.5,69.0,18.5,99.9,948.2,1001.1,23.7
202508100157,177,84.5,0.3,82.7,0.5,57.3,0.6,22.4,0.0,0.0,0.0,0.4,0.0,84.2,998.0,1001.2,19.6
202508100157,181,44.0,0.0,50.3,0.5,47.3,1.2,20.7,0.0,0.0,0.0,0.2,0.0,92.7,998.5,1002.4,19.5
202508100157,182,230.0,6.9,250.0,10.6,220.0,6.3,27.8,-99.7,0.0,0.0,2.6,0.8,84.0,998.6,1001.4,24.8
202508100157,184,225.5,4.5,207.3,6.0,233.5,6.2,28.6,0.0,0.0,0.0,2.5,0.7,75.0,998.4,1000.7,23.7
202508100157,185,206.9,10.0,189.6,10.0,193.9,9.3,26.5,0.0,0.0,0.0,6.3,0.2,92.5,993.6,1001.6,25.2
202508100157,188,260.7,3.1,243.8,6.3,233.6,5.7,27.6,1.0,0.6,2.2,5.0,3.4,97.6,999.9,1002.2,27.2
202508100157,189,259.0,3.2,299.0,7.1,257.6,3.1,27.1,1.0,3.4,4.5,6.6,5.0,94.1,996.7,1002.5,26.1
202508100157,192,105.7,0.0,90.0,0.4,25.7,0.1,19.7,1.0,0.7,2.9,17.3,4.8,96.8,999.0,1002.4,19.2
202508100157,201,6.1,0.6,11.1,1.5,18.2,0.7,20.2,0.0,0.0,0.0,0.0,0.0,94.1,997.7,1003.2,19.2
202508100157,202,197.8,0.6,191.3,0.7,163.2,0.5,20.9,0.0,0.0,0.0,0.0,0.0,95.3,997.3,1002.7,20.1
202508100157,203,0.0,0.0,135.1,0.0,142.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,99.8,994.2,1003.4,20.0
202508100157,211,4.4,0.8,337.7,1.3,13.8,0.6,20.4,0.0,0.0,0.0,0.0,0.0,89.9,980.2,1003.3,18.7
202508100157,212,57.4,1.1,50.5,1.5,52.5,1.3,20.3,0.0,0.0,0.0,0.0,0.0,93.8,987.4,1003.5,19.3
202508100157,216,335.0,0.4,5.0,0.6,357.0,0.6,14.5,0.0,0.0,0.0,0.2,0.0,95.2,923.9,1004.6,13.7
202508100157,217,196.9,1.1,167.1,1.5,195.0,0.9,17.2,0.0,0.0,0.0,0.0,0.0,93.8,968.2,1004.0,16.2
202508100157,221,170.8,0.0,199.8,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.1,0.0,99.8,972.5,1002.9,18.0
202508100157,226,9.7,0.4,0.0,0.8,351.3,0.4,20.1,0.0,0.0,0.0,0.5,0.0,99.8,982.9,1002.5,20.1
202508100157,229,33.2,7.2,31.9,8.0,33.4,7.2,22.9,0.0,0.0,0.0,0.5,0.0,88.8,989.4,1001.3,21.0
202508100157,230,247.3,1.0,221.0,1.9,190.9,0.9,23.0,0.0,0.0,0.0,0.0,0.0,92.3,1001.6,1003.0,21.7
202508100157,232,347.3,0.8,332.1,1.2,333.7,1.3,19.9,0.0,0.0,0.0,0.5,0.0,99.4,993.2,1003.0,19.8
202508100157,235,58.0,1.2,80.0,1.4,54.0,1.2,22.1,0.0,0.0,0.0,0.9,0.0,88.2,1000.0,1001.1,20.1
202508100157,236,74.9,0.3,90.0,0.5,290.1,0.2,22.5,0.0,0.0,0.0,0.8,0.0,88.8,1000.5,1002.0,20.6
202508100157,238,83.6,0.5,73.1,0.7,131.6,0.5,22.1,1.0,0.3,0.7,1.5,0.7,99.8,982.2,1001.8,22.1
202508100157,239,112.5,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.4,0.0,89.8,991.7,1001.9,20.0
202508100157,243,62.4,1.2,67.5,1.5,64.2,1.6,22.0,1.0,2.4,8.8,15.8,15.6,95.2,1000.4,1001.8,21.2
202508100157,244,204.4,0.7,199.8,0.8,138.2,0.4,21.4,1.0,2.6,9.4,22.3,18.7,96.7,973.6,1001.6,20.9
202508100157,245,51.0,2.6,68.0,3.0,24.9,2.0,22.3,1.0,3.7,11.9,26.6,21.6,97.1,993.5,1001.3,21.8
202508100157,247,85.4,3.3,90.0,4.7,83.2,2.1,21.7,1.0,1.5,8.1,28.4,14.7,99.9,986.5,1001.7,21.7
202508100157,248,336.5,0.3,323.7,0.3,24.6,0.5,20.6,1.0,1.4,13.7,18.6,15.4,99.9,956.4,1002.2,20.6
202508100157,251,13.0,1.3,11.1,2.0,8.1,1.1,22.1,1.0,1.1,11.2,28.6,18.7,87.9,993.8,1000.5,20.0
202508100157,252,344.2,1.1,343.1,1.6,353.1,1.8,22.1,1.0,1.9,9.0,34.2,15.1,91.3,996.8,1001.1,20.6
202508100157,253,103.1,0.0,101.3,0.1,193.6,0.0,22.3,1.0,0.0,0.0,3.4,0.5,99.4,996.6,1002.9,22.2
202508100157,254,134.6,0.9,125.3,2.2,118.6,1.0,21.7,1.0,3.6,7.7,37.1,21.7,96.7,986.8,1001.6,21.2
202508100157,255,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
202508100157,257,177.7,0.7,151.9,1.3,157.6,1.0,22.1,0.0,0.0,0.0,3.2,0.0,99.8,1000.8,1001.5,22.1
202508100157,258,72.2,1.7,67.2,2.4,73.9,1.8,22.2,1.0,1.0,2.1,40.5,2.5,99.9,1002.4,1002.6,22.2
202508100157,259,89.1,1.9,87.1,2.8,89.4,1.5,23.3,1.0,0.7,15.5,56.3,21.1,100.0,999.4,1001.2,23.3
202508100157,260,159.1,2.1,121.3,2.6,166.9,1.6,23.2,1.0,1.2,16.1,48.5,17.2,99.0,995.8,1000.8,23.0
202508100157,261,350.5,1.2,11.3,1.8,342.9,1.5,24.7,1.0,0.2,1.3,57.6,33.5,99.0,998.9,1000.8,24.5
202508100157,262,269.0,0.8,323.0,1.1,295.3,1.2,22.8,1.0,2.5,3.5,26.1,5.8,96.0,996.1,1002.0,22.1
202508100157,263,351.6,0.9,2.7,1.1,351.0,1.2,21.2,1.0,4.9,8.8,27.0,9.0,96.4,1000.3,1001.9,20.6
202508100157,264,81.7,1.3,91.4,1.7,118.2,1.2,21.7,1.0,1.9,12.4,-99.9,16.8,91.4,984.9,1002.2,20.2
202508100157,266,110.4,1.2,81.3,2.2,82.0,1.4,21.7,0.0,0.3,2.2,29.7,2.8,97.4,992.5,1002.6,21.3
202508100157,268,43.8,0.4,33.7,0.8,60.9,0.8,25.3,1.0,0.0,0.2,78.7,27.9,99.9,998.4,999.5,25.3
202508100157,269,70.1,2.2,29.9,4.2,50.4,2.6,22.9,0.0,0.2,1.3,49.2,11.4,99.9,998.1,1001.3,22.9
202508100157,271,321.5,1.1,334.8,1.7,334.2,0.3,16.2,0.0,0.0,0.0,0.2,0.0,97.9,966.2,1003.6,15.9
202508100157,272,14.8,0.0,33.7,0.2,296.9,0.1,18.8,0.0,0.0,0.0,0.5,0.0,99.9,978.4,1002.7,18.8
202508100157,273,296.4,0.6,295.5,0.8,310.6,0.3,19.3,0.0,0.0,0.0,0.7,0.0,99.9,982.4,1002.3,19.3
202508100157,276,246.7,0.6,264.4,0.7,257.0,1.0,21.2,0.0,0.0,0.0,1.1,0.0,99.9,978.5,1002.2,21.2
202508100157,277,164.9,1.2,163.1,1.4,178.0,1.3,21.1,0.0,0.0,0.0,0.2,0.0,91.7,997.1,1001.8,19.7
202508100157,278,0.0,0.0,50.5,0.0,0.0,0.0,21.7,0.0,0.0,0.0,1.0,0.0,99.7,992.2,1001.5,21.7
202508100157,279,250.1,0.5,293.1,0.7,267.9,0.5,22.8,0.0,0.0,0.0,0.5,0.0,93.7,995.9,1001.5,21.7
202508100157,281,330.9,0.4,337.7,0.6,315.4,0.1,21.2,0.0,0.0,0.0,3.9,0.0,99.3,991.5,1002.5,21.1
