TIME,STN,TA,HM,TD,TG,TS,TE0.05,TE0.1,TE0.2,TE0.3,TE0.5,TE1.0,TE1.5,TE3.0,TE5.0,PA,PS
202508100158,90,21.6,90.9,20.1,21.1,22.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.9,1001.9
202508100158,92,22.9,67.0,16.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,994.3,1001.8
202508100158,93,19.2,96.4,18.6,18.3,21.5,23.8,26.2,27.5,28.2,28.6,27.8,25.7,21.0,18.1,992.4,1003.5
202508100158,95,18.5,97.2,18.0,18.5,21.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,985.9,1003.9
202508100158,96,21.4,99.4,21.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.0,1003.4
202508100158,98,19.0,99.9,19.0,17.6,20.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,989.6,1003.0
202508100158,99,19.6,99.9,19.6,19.2,22.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.8,1003.3
202508100158,100,14.0,97.5,13.6,12.5,15.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,918.5,1005.7
202508100158,101,19.6,92.2,18.3,18.3,21.9,25.2,26.2,27.1,28.3,28.5,26.4,24.1,19.6,15.9,994.1,1002.9
202508100158,102,21.3,88.0,19.2,19.1,21.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.9,1002.0
202508100158,104,20.8,77.6,16.7,17.9,20.7,24.5,25.6,27.0,27.3,27.0,25.8,23.9,18.4,14.6,992.4,1001.0
202508100158,105,23.0,62.3,15.4,19.4,19.7,23.7,24.6,25.8,27.3,27.3,26.8,24.6,19.0,16.4,999.0,1002.1
202508100158,106,20.7,72.5,15.6,18.0,19.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.6,1002.3
202508100158,108,22.3,83.9,19.4,18.8,22.0,23.7,24.6,25.5,26.0,27.4,26.1,25.1,19.9,16.7,991.5,1001.3
202508100158,110,20.9,100.0,20.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1000.4,1002.5
202508100158,112,23.2,77.5,19.1,19.6,23.0,25.5,25.6,26.2,26.9,26.5,25.6,23.5,19.2,15.3,994.1,1002.0
202508100158,113,23.7,83.0,20.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.7,1002.5
202508100158,114,19.5,83.3,16.6,15.9,19.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,984.7,1001.9
202508100158,115,23.9,87.8,21.8,22.0,22.9,24.3,24.7,25.9,25.6,24.4,22.7,21.1,16.3,13.9,977.5,1002.4
202508100158,116,19.8,90.2,18.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,932.9,1002.4
202508100158,119,21.4,89.9,19.7,20.3,21.8,25.1,26.0,27.0,27.2,27.0,25.7,23.6,18.4,14.7,997.5,1002.1
202508100158,121,17.6,96.1,17.0,16.2,19.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,976.0,1003.7
202508100158,127,20.0,90.4,18.4,18.4,21.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,988.4,1001.6
202508100158,129,21.2,94.8,20.3,19.9,23.4,23.9,24.9,25.8,26.2,26.3,25.0,24.2,18.3,17.3,999.5,1002.4
202508100158,130,20.9,82.5,17.8,18.5,21.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.4,1002.0
202508100158,131,22.2,82.5,19.1,21.9,23.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.1,1001.8
202508100158,133,22.6,92.0,21.2,22.1,23.3,26.3,27.1,28.0,28.3,28.7,28.2,26.1,21.5,17.8,994.3,1002.0
202508100158,135,21.1,94.6,20.2,22.1,22.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,974.2,1002.0
202508100158,136,21.3,95.2,20.5,20.6,22.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,987.1,1003.2
202508100158,137,21.6,95.0,20.8,21.7,23.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,990.5,1001.5
202508100158,138,22.9,87.8,20.8,21.6,23.9,26.0,26.7,27.7,27.8,27.0,24.7,23.2,19.2,16.7,1001.3,1001.8
202508100158,140,23.0,92.3,21.7,22.2,24.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.1,1002.3
202508100158,143,22.4,93.5,21.3,22.5,23.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.8,1002.0
202508100158,146,22.4,93.0,21.2,22.4,23.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.2,1002.1
202508100158,151,21.8,96.0,21.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.5,1002.5
202508100158,152,21.2,93.8,20.2,21.6,23.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.5,1001.8
202508100158,155,22.2,97.6,21.8,23.4,24.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.1,1002.1
202508100158,156,22.2,95.3,21.4,24.2,24.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.6,1000.6
202508100158,159,22.7,92.9,21.5,21.1,23.6,25.3,24.6,25.1,25.7,27.8,26.5,24.9,19.5,18.2,994.1,1002.0
202508100158,160,20.2,99.9,20.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.9
202508100158,162,21.6,96.6,21.0,22.0,22.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.1,1001.7
202508100158,163,25.3,95.0,24.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.4,1000.5
202508100158,165,24.8,100.0,24.8,24.5,25.2,26.1,26.3,26.4,26.9,26.9,26.9,24.5,20.7,17.4,995.3,1000.4
202508100158,167,22.4,97.0,21.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.3,1002.3
202508100158,168,22.3,94.4,21.4,22.2,24.5,24.4,25.1,26.7,27.1,28.3,27.3,24.7,19.5,17.3,994.7,1002.2
202508100158,169,24.3,96.8,23.8,24.9,24.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,991.4,999.9
202508100158,170,23.7,97.4,23.3,23.7,23.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.2,1001.2
202508100158,172,22.3,97.9,22.0,22.8,23.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.1,1001.1
202508100158,174,20.8,95.8,20.1,21.1,23.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,982.1,1000.9
202508100158,175,23.8,99.9,23.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,948.1,1001.0
202508100158,177,22.4,84.2,19.6,20.6,21.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.0,1001.2
202508100158,181,20.7,92.9,19.5,19.7,23.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.5,1002.4
202508100158,182,27.9,83.0,24.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.6,1001.4
202508100158,184,28.6,74.8,23.7,26.6,26.5,28.8,30.2,30.4,30.4,30.1,28.8,27.9,25.7,20.6,998.4,1000.7
202508100158,185,26.5,92.4,25.2,25.8,26.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,993.6,1001.6
202508100158,188,27.6,97.6,27.2,27.0,27.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.9,1002.2
202508100158,189,27.1,94.1,26.1,26.7,27.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.8,1002.6
202508100158,192,19.7,96.9,19.2,23.2,24.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.1,1002.5
202508100158,201,20.3,93.4,19.2,18.5,20.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.7,1003.2
202508100158,202,20.9,95.3,20.1,19.9,23.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.3,1002.7
202508100158,203,19.9,99.8,19.9,18.0,20.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,994.2,1003.4
202508100158,211,20.4,90.1,18.7,20.0,-99.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,980.2,1003.3
