PREDC_ANLS_DT,SGG_NM,LNLD_FRCST_NM
20250907040000,충청남도 논산시,경보
20250907040000,충청남도 서천군,경보
20250907040000,충청남도 부여군,경보
20250907060000,충청남도 부여군,주의보
20250907050000,충청남도 논산시,주의보
20250907050000,충청남도 서천군,주의보
20250907050000,충청남도 부여군,경보
20250907010000,충청남도 보령시,
20250907010000,충청남도 부여군,
20250907000000,충청남도 보령시,경보
20250907000000,충청남도 부여군,
20250907030000,충청남도 논산시,
20250907030000,충청남도 서천군,경보
20250907030000,충청남도 부여군,경보
20250907020000,충청남도 논산시,주의보
20250907020000,충청남도 서천군,경보
20250907020000,충청남도 부여군,경보
