#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100012    90   22.3   94.2   21.3   21.6   22.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.7 1002.7
202508100012    92   23.0   71.0   17.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.1 1002.7
202508100012    93   20.0   94.0   19.0   19.1   22.2   24.5   26.7   27.8   28.3   28.7   27.8   25.7   21.0   18.1  993.3 1004.4
202508100012    95   19.4   92.4   18.1   19.3   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.7 1004.6
202508100012    96   22.2   89.8   20.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.3 1003.6
202508100012    98   19.4   99.8   19.4   18.4   20.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.5 1003.8
202508100012    99   19.7   99.9   19.7   19.5   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.8 1004.3
202508100012   100   15.1   96.0   14.5   13.8   16.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  919.4 1006.3
202508100012   101   20.1   89.8   18.4   18.5   22.5   25.8   26.8   27.6   28.5   28.5   26.4   24.1   19.6   16.0  995.0 1003.8
202508100012   102   20.7   90.5   19.1   18.3   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.7 1002.9
202508100012   104   20.9   81.8   17.7   18.1   21.5   25.3   26.3   27.4   27.5   27.2   25.8   23.9   18.4   14.6  993.4 1002.0
