#START7777
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202508100011    90  320.0    0.5  350.0    0.7  236.6    0.9   22.2    0.0    0.0    0.0    0.0    0.0   94.1 1000.7 1002.7   21.2
202508100011    92  280.0    2.8  280.0    3.3  270.0    2.9   22.9  -99.7    0.0    0.0    0.0    0.0   71.0  995.2 1002.7   17.4
202508100011    93  316.1    0.0  326.5    0.1  333.3    0.1   19.9    0.0    0.0    0.0    0.0    0.0   94.2  993.4 1004.5   18.9
202508100011    95  128.6    0.2   84.4    0.7   97.9    1.0   19.4    0.0    0.0    0.0    0.0    0.0   91.8  986.7 1004.6   18.0
202508100011    96  126.2    5.7  132.9    7.9  119.6    5.5   22.3    0.0    0.0    0.0    0.0    0.0   89.3  992.2 1003.5   20.5
202508100011    98   39.4    1.1   42.2    1.3   45.4    0.7   19.5    0.0    0.0    0.0    0.0    0.0   99.7  990.5 1003.8   19.5
202508100011    99  342.8    0.1  343.3    0.2   64.1    0.5   19.6    0.0    0.0    0.0    0.0    0.0   99.9 1000.8 1004.4   19.6
202508100011   100  278.3    0.8  278.6    0.9  294.0    0.6   15.1    0.0    0.0    0.0    0.0    0.0   96.1  919.4 1006.3   14.5
202508100011   101  301.5    1.5  289.6    2.8  297.7    1.3   20.1    0.0    0.0    0.0    0.0    0.0   89.5  995.0 1003.8   18.3
202508100011   102   38.0    1.1   61.9    1.9  344.8    0.9   20.7    0.0    0.0    0.0    0.0    0.0   90.3  998.7 1002.9   19.1
202508100011   104  238.5    0.4  224.0    0.8  236.2    0.6   20.9    0.0    0.0    0.0    0.0    0.0   81.6  993.4 1002.0   17.6
202508100011   105  228.8    2.0  227.1    2.8  235.4    2.2   23.3    0.0    0.0    0.0    0.0    0.0   66.0  999.9 1003.0   16.6
202508100011   106  222.0    2.6  227.0    2.9  218.5    2.5   21.0    0.0    0.0    0.0    0.0    0.0   74.7  998.4 1003.1   16.3
202508100011   108   22.1    1.4   40.5    1.8   36.1    1.3   23.1    0.0    0.0    0.0    0.1    0.0   82.7  992.7 1002.5   20.0
202508100011   110  350.0    1.3  350.0    1.4  340.0    1.4   21.8  -99.7    0.0    0.0    0.0    0.0  100.0 1001.6 1003.7   21.8
202508100011   112   43.8    2.2   88.6    2.5   32.1    2.1   24.0    0.0    0.0    0.0    0.0    0.0   77.5  995.2 1003.0   19.8
202508100011   113   40.0    2.1   50.0    2.6   30.0    2.1   23.4  -99.7    0.0    0.0    0.0    0.0   91.0 1002.8 1003.6   21.8
202508100011   114   97.6    1.7   97.3    2.2  103.8    1.4   20.5    0.0    0.0    0.0    0.0    0.0   76.7  986.0 1003.2   16.3
202508100011   115  230.5    3.9  214.8    5.7  230.0    3.8   23.8    0.0    0.0    0.0    0.1    0.0   86.1  978.1 1003.0   21.3
202508100011   116    8.0    1.1   10.0    1.9    6.0    1.0   20.2    0.0    0.0    0.0    0.0    0.0   95.9  934.2 1003.7   19.5
202508100011   119   26.7    1.6   32.6    2.4   26.6    1.4   21.5    0.0    0.0    0.0    0.0    0.0   90.1  998.7 1003.3   19.8
202508100011   121   65.6    0.8   65.6    0.8   68.2    0.7   18.3    0.0    0.0    0.0    0.0    0.0   94.7  977.5 1005.2   17.4
202508100011   127   99.1    0.6   98.5    0.8   79.8    0.7   21.0    0.0    0.0    0.0    0.1    0.0   87.8  989.6 1002.8   18.9
202508100011   129   41.2    0.9   14.3    2.3   43.1    0.8   22.0    0.0    0.0    0.0    0.1    0.0   90.3  999.6 1002.5   20.3
202508100011   130  247.7    1.1  229.7    2.2  258.3    1.7   22.3    0.0    0.0    0.0    0.0    0.0   78.3  997.4 1003.0   18.3
202508100011   131   52.7    3.3   53.4    4.1   52.3    3.4   23.2    0.0    0.0    0.0    0.3    0.0   80.0  995.5 1002.2   19.6
202508100011   133  358.1    0.7    0.0    1.0   13.9    0.8   22.9    0.0    0.0    0.0    0.8    0.0   93.0  994.8 1002.5   21.7
202508100011   135   56.9    1.5   61.9    1.7   48.2    0.4   21.2    0.0    0.0    0.0    1.3    0.0   94.3  974.9 1002.7   20.2
202508100011   136   92.0    1.1  101.3    1.5  101.3    0.7   22.2    0.0    0.0    0.0    1.5    0.0   95.2  987.9 1004.0   21.4
202508100011   137   40.3    0.2   59.0    0.3   50.7    0.2   22.0    0.0    0.0    0.0    1.3    0.0   92.8  991.3 1002.3   20.8
202508100011   138  306.5    0.5  291.3    1.7  297.2    1.5   22.9    0.0    0.0    0.0    3.0    0.0   86.1 1002.4 1002.9   20.5
