#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100026    90   22.1   93.8   21.1   21.5   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1002.5
202508100026    92   23.1   70.0   17.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.9 1002.4
202508100026    93   20.0   94.2   19.0   19.0   22.1   24.3   26.7   27.7   28.3   28.7   27.8   25.7   21.0   18.1  993.2 1004.3
202508100026    95   19.4   93.7   18.4   18.9   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.5 1004.4
202508100026    96   21.9   93.7   20.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.2 1003.5
202508100026    98   19.5   97.5   19.1   18.2   20.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.3 1003.6
202508100026    99   19.9   99.7   19.9   19.5   22.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1004.0
202508100026   100   15.0   96.3   14.4   13.6   16.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  919.2 1006.1
202508100026   101   19.9   91.1   18.4   18.4   22.5   25.7   26.7   27.5   28.5   28.5   26.4   24.1   19.6   16.0  994.9 1003.7
202508100026   102   22.0   82.9   19.0   19.3   21.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.6 1002.7
202508100026   104   21.7   78.0   17.7   18.3   21.4   25.2   26.2   27.4   27.5   27.2   25.8   23.9   18.4   14.6  993.2 1001.8
202508100026   105   23.3   64.8   16.3   19.4   20.5   24.3   25.1   26.3   27.5   27.5   26.9   24.6   19.0   16.4  999.7 1002.8
202508100026   106   20.5   77.1   16.4   18.2   20.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1003.1
202508100026   108   22.9   82.9   19.8   19.9   22.5   24.1   24.9   25.6   25.9   27.4   26.1   25.1   19.8   16.7  992.4 1002.2
202508100026   110   21.7  100.0   21.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.3 1003.4
202508100026   112   23.8   75.9   19.3   19.4   23.5   25.8   26.0   26.5   26.9   26.6   25.7   23.5   19.2   15.3  995.1 1002.9
202508100026   113   23.7   89.0   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.6 1003.4
202508100026   114   20.4   77.5   16.3   16.9   20.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  985.9 1003.1
202508100026   115   23.9   86.2   21.5   22.0   22.6   24.2   24.8   26.0   25.6   24.4   22.7   21.1   16.3   13.9  978.0 1002.9
202508100026   116   20.0   96.8   19.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  933.9 1003.4
202508100026   119   21.7   89.8   20.0   20.6   22.2   25.5   26.3   27.1   27.3   27.0   25.7   23.6   18.4   14.7  998.4 1003.0
202508100026   121   18.1   94.8   17.3   16.9   20.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  977.2 1004.9
202508100026   127   21.4   87.8   19.3   20.2   22.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.4 1002.5
202508100026   129   21.9   92.1   20.6   20.1   23.9   24.4   25.4   26.1   26.3   26.3   25.0   24.2   18.3   17.3  999.5 1002.4
202508100026   130   22.4   77.0   18.2   20.1   22.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.3 1002.9
202508100026   131   23.1   79.5   19.4   22.3   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.4 1002.1
202508100026   133   22.9   93.0   21.7   22.4   23.7   26.7   27.4   28.2   28.4   28.8   28.2   26.1   21.5   17.9  994.6 1002.3
202508100026   135   21.2   94.4   20.3   22.1   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.7 1002.5
202508100026   136   22.1   94.3   21.1   22.2   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.8 1003.9
202508100026   137   21.9   92.8   20.7   21.7   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.1 1002.1
202508100026   138   22.7   86.5   20.3   22.1   24.3   26.3   27.0   27.8   27.8   27.0   24.7   23.2   19.1   16.7 1002.4 1002.9
202508100026   140   23.4   91.8   22.0   22.6   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.4 1002.6
202508100026   143   22.6   91.4   21.1   22.6   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.3 1002.5
202508100026   146   23.3   87.9   21.2   23.3   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.2 1002.1
202508100026   151   21.9   96.0   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.1 1003.0
202508100026   152   21.5   93.3   20.4   21.9   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.1 1002.4
202508100026   155   22.6   95.5   21.8   23.6   24.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.9 1002.9
202508100026   156   22.0   95.0   21.2   24.4   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.4 1001.4
202508100026   159   23.0   85.4   20.4   21.5   24.1   25.5   24.8   25.3   25.8   27.8   26.5   24.9   19.5   18.2  994.9 1002.8
202508100026   160   20.3   99.9   20.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.9
202508100026   162   22.2   96.0   21.5   22.6   23.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.0 1002.6
202508100026   163   23.7   95.0   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.5 1000.6
202508100026   165   24.3  100.0   24.3   24.1   24.9   26.1   26.4   26.6   26.9   27.1   26.8   24.5   20.7   17.4  995.3 1000.4
202508100026   167   22.6   96.0   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.9 1002.9
202508100026   168   22.5   92.5   21.2   22.0   24.5   24.6   25.4   26.8   27.3   28.4   27.3   24.6   19.5   17.4  995.3 1002.8
202508100026   169   26.6   95.1   25.8   25.5   25.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.9 1000.3
202508100026   170   23.5   97.0   23.0   23.8   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.6 1001.6
