TIME,STN,TA,HM,TD,TG,TS,TE0.05,TE0.1,TE0.2,TE0.3,TE0.5,TE1.0,TE1.5,TE3.0,TE5.0,PA,PS
202508121615,90,28.9,62.3,21.0,38.1,36.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.3,1011.3
202508121615,92,28.0,68.0,21.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.5,1011.0
202508121615,93,32.7,50.3,21.0,45.1,42.2,37.0,34.0,30.2,28.7,28.2,27.7,25.8,21.3,18.2,999.0,1009.6
202508121615,95,32.1,50.7,20.6,44.7,36.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.4,1009.6
202508121615,96,24.6,80.3,21.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1002.8,1014.1
202508121615,98,32.0,47.5,19.5,44.4,43.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.5,1009.3
202508121615,99,32.3,59.0,23.3,44.4,43.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.6,1010.0
202508121615,100,26.5,62.3,18.7,39.2,40.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,927.2,1011.0
202508121615,101,32.9,45.9,19.7,43.2,37.9,35.2,33.0,31.4,28.7,27.9,26.2,24.2,19.7,16.1,1000.2,1008.6
202508121615,102,26.9,59.6,18.4,37.6,44.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.3,1009.4
202508121615,104,29.9,68.1,23.4,42.5,37.9,32.6,30.2,27.8,26.6,26.6,25.3,23.7,18.4,14.6,1001.3,1009.7
202508121615,105,31.1,53.3,20.5,45.7,41.5,31.0,29.4,29.4,28.2,27.8,27.5,23.1,17.7,15.1,1007.8,1010.8
202508121615,106,26.5,77.7,22.3,36.2,38.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.8,1011.4
202508121615,108,34.0,39.7,18.4,40.8,35.5,30.7,28.6,25.0,24.4,27.2,25.8,25.1,20.0,16.8,998.8,1008.2
202508121615,110,35.0,35.0,17.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.8,1009.8
202508121615,112,32.3,54.0,21.8,39.7,36.7,30.1,29.7,28.3,26.6,26.1,25.4,23.5,19.4,15.4,1001.8,1009.5
202508121615,113,31.1,57.0,21.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.4,1010.2
202508121615,114,32.0,45.2,18.7,41.2,46.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.2,1008.8
202508121615,115,25.6,83.4,22.6,31.0,30.1,26.7,26.2,25.8,25.1,25.0,22.7,21.2,16.4,14.0,988.4,1013.4
202508121615,116,28.4,51.7,17.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,941.6,1009.5
202508121615,119,32.5,44.3,18.8,38.9,45.2,30.8,29.5,27.4,27.0,26.8,25.6,23.8,18.7,14.9,1005.0,1009.4
202508121615,121,28.7,63.0,21.0,36.2,37.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,984.3,1011.1
202508121615,127,29.2,60.3,20.7,36.1,37.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.3,1010.2
202508121615,129,30.1,56.9,20.6,33.3,32.2,32.8,31.5,28.9,26.4,26.0,24.8,24.3,18.5,17.4,1007.3,1010.1
202508121615,130,26.8,77.9,22.6,33.8,33.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.5,1013.1
202508121615,131,28.3,61.6,20.2,29.3,29.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.8,1010.4
202508121615,133,26.5,72.8,21.2,28.9,29.7,30.7,29.3,28.0,27.7,28.0,27.6,26.1,21.9,18.2,1003.3,1011.0
202508121615,135,21.8,92.2,20.5,23.7,24.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,984.0,1012.0
202508121615,136,26.0,76.3,21.5,31.0,28.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.9,1012.9
202508121615,137,26.0,79.1,22.1,30.2,29.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1000.2,1011.2
202508121615,138,23.5,93.5,22.4,24.2,25.7,26.1,26.2,26.7,26.9,26.6,24.6,23.2,19.3,16.7,1012.3,1012.8
202508121615,140,25.8,81.4,22.4,30.7,27.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.0,1011.2
202508121615,143,23.8,93.4,22.7,25.1,27.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.6,1011.8
202508121615,146,25.3,87.5,23.1,28.5,27.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.1,1011.0
202508121615,151,24.3,96.0,23.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1011.5,1012.5
202508121615,152,23.7,92.0,22.3,25.7,26.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1002.4,1011.7
202508121615,155,23.5,97.4,23.1,25.5,25.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.8,1011.8
202508121615,156,25.2,87.5,23.0,28.5,27.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.0,1011.0
202508121615,159,24.4,95.2,23.6,24.7,26.1,24.2,23.4,23.0,23.3,26.1,26.4,25.0,19.7,18.2,1003.9,1011.9
202508121615,160,21.9,99.9,21.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.9
202508121615,162,23.5,94.5,22.6,25.2,25.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.8,1011.4
202508121615,163,25.5,92.0,24.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.5,1010.7
202508121615,165,24.9,98.4,24.6,25.6,26.5,25.9,25.5,25.3,25.7,25.8,26.0,24.4,20.9,17.5,1005.3,1010.4
