TIME,STN,WD1,WS1,WDS,WSS,WD10,WS10,TA,RE,RN-15m,RN-60m,RN-12H,RN-DAY,HM,PA,PS,TD
202508121615,90,133.0,6.4,143.0,9.1,142.2,5.2,28.9,0.0,0.0,0.0,0.0,0.0,62.3,1009.3,1011.3,21.0
202508121615,92,160.0,3.4,180.0,4.8,150.0,3.6,28.0,-99.7,0.0,0.0,0.0,0.0,68.0,1003.5,1011.0,21.5
202508121615,93,185.9,0.8,182.8,1.0,229.7,1.3,32.7,0.0,0.0,0.0,0.0,0.0,50.3,999.0,1009.6,21.0
202508121615,95,260.2,1.9,270.2,2.7,263.4,1.5,32.1,0.0,0.0,0.0,0.0,0.0,50.7,992.4,1009.6,20.6
202508121615,96,116.6,0.8,127.9,1.3,124.4,1.3,24.6,0.0,0.0,0.0,0.5,2.5,80.3,1002.8,1014.1,21.0
202508121615,98,208.9,0.7,244.8,1.2,191.9,0.5,32.0,0.0,-99.9,-99.9,-99.9,-99.2,47.5,996.5,1009.3,19.5
202508121615,99,114.2,0.3,152.0,0.4,53.7,0.8,32.3,0.0,0.0,0.0,0.0,0.0,59.0,1006.6,1010.0,23.3
202508121615,100,97.5,2.8,98.5,4.9,98.4,2.7,26.5,0.0,0.0,0.0,0.0,0.0,62.3,927.2,1011.0,18.7
202508121615,101,291.7,1.9,272.4,2.8,286.9,2.5,32.9,0.0,0.0,0.0,0.0,0.0,45.9,1000.2,1008.6,19.7
202508121615,102,210.3,2.6,213.8,3.1,216.7,3.0,26.9,0.0,0.0,0.0,0.0,0.0,59.6,1005.3,1009.4,18.4
202508121615,104,109.4,2.8,103.6,3.5,102.4,2.0,29.9,0.0,0.0,0.0,0.0,0.0,68.1,1001.3,1009.7,23.4
202508121615,105,132.7,3.6,110.0,5.0,119.9,3.4,31.1,0.0,0.0,0.0,0.0,0.0,53.3,1007.8,1010.8,20.5
202508121615,106,127.0,8.7,158.0,11.5,126.3,7.2,26.5,0.0,0.0,0.0,0.0,0.0,77.7,1006.8,1011.4,22.3
202508121615,108,98.0,3.0,106.8,4.6,120.7,3.4,34.0,0.0,0.0,0.0,0.0,0.0,39.7,998.8,1008.2,18.4
202508121615,110,130.0,4.0,160.0,5.3,130.0,1.9,35.0,-99.7,0.0,0.0,0.0,0.0,35.0,1007.8,1009.8,17.3
202508121615,112,266.2,3.0,275.4,3.8,265.4,3.0,32.3,0.0,0.0,0.0,0.0,0.0,54.0,1001.8,1009.5,21.8
202508121615,113,340.0,4.0,350.0,5.0,320.0,4.4,31.1,-99.7,0.0,0.0,0.0,0.0,57.0,1009.4,1010.2,21.6
202508121615,114,166.4,3.8,169.6,6.2,167.7,3.5,32.0,0.0,0.0,0.0,0.0,0.0,45.2,992.2,1008.8,18.7
202508121615,115,207.5,2.0,199.7,2.7,206.7,2.4,25.6,0.0,0.0,0.0,0.2,0.2,83.4,988.4,1013.4,22.6
202508121615,116,12.0,0.2,101.0,0.8,86.5,0.5,28.4,0.0,0.0,0.0,0.0,0.0,51.7,941.6,1009.5,17.5
202508121615,119,181.9,1.8,80.6,3.5,135.7,3.1,32.5,0.0,0.0,0.0,0.0,0.0,44.3,1005.0,1009.4,18.8
202508121615,121,101.7,3.2,93.1,4.1,133.0,3.7,28.7,0.0,0.0,0.0,0.0,0.0,63.0,984.3,1011.1,21.0
202508121615,127,30.0,2.3,22.5,3.3,34.0,1.9,29.2,0.0,0.0,0.0,0.0,0.0,60.3,997.3,1010.2,20.7
202508121615,129,199.3,1.4,190.8,2.2,170.4,2.5,30.1,0.0,0.0,0.0,0.0,0.0,56.9,1007.3,1010.1,20.6
202508121615,130,77.9,1.3,168.6,2.8,164.1,1.8,26.8,0.0,0.0,0.0,0.0,0.0,77.9,1007.5,1013.1,22.6
202508121615,131,134.5,3.3,132.3,4.1,135.0,2.3,28.3,0.0,0.0,0.0,0.0,0.0,61.6,1003.8,1010.4,20.2
202508121615,133,136.2,3.5,123.9,4.8,132.8,4.0,26.5,0.0,0.0,0.0,0.0,0.0,72.8,1003.3,1011.0,21.2
202508121615,135,53.1,1.7,56.2,2.0,61.7,1.8,21.8,1.0,0.7,2.6,2.6,2.6,92.2,984.0,1012.0,20.5
202508121615,136,109.9,1.8,137.8,2.3,106.2,2.2,26.0,0.0,0.0,0.0,0.0,0.0,76.3,996.9,1012.9,21.5
202508121615,137,149.9,0.8,154.8,1.2,145.0,0.6,26.0,0.0,0.0,0.0,0.0,0.0,79.1,1000.2,1011.2,22.1
202508121615,138,25.6,2.1,35.6,2.6,44.8,1.3,23.5,1.0,0.1,0.4,3.0,4.3,93.5,1012.3,1012.8,22.4
202508121615,140,131.4,2.6,143.0,2.8,114.1,2.4,25.8,0.0,0.0,0.0,0.0,0.0,81.4,1008.0,1011.2,22.4
202508121615,143,121.1,2.3,116.8,2.3,127.5,1.4,23.8,1.0,0.0,2.5,5.4,5.7,93.4,1005.6,1011.8,22.7
202508121615,146,66.2,2.6,67.8,2.7,83.3,1.8,25.3,0.0,0.0,0.0,1.6,1.6,87.5,1004.1,1011.0,23.1
202508121615,151,300.0,1.9,300.0,2.3,290.0,1.9,24.3,-99.7,0.0,1.0,31.0,31.0,96.0,1011.5,1012.5,23.6
202508121615,152,281.4,1.6,288.4,1.7,305.2,1.1,23.7,0.0,0.0,0.9,29.4,29.7,92.0,1002.4,1011.7,22.3
202508121615,155,38.0,0.7,93.0,1.2,41.3,0.7,23.5,1.0,0.4,0.5,47.7,49.7,97.4,1007.8,1011.8,23.1
202508121615,156,199.1,0.6,228.4,0.8,196.8,1.0,25.2,0.0,0.0,0.0,30.5,30.8,87.5,1003.0,1011.0,23.0
202508121615,159,71.3,0.0,122.7,0.0,0.0,0.0,24.4,0.0,0.0,1.1,50.9,66.1,95.2,1003.9,1011.9,23.6
202508121615,160,111.6,2.3,115.3,2.4,102.8,2.4,21.9,0.0,0.0,1.0,56.0,69.5,99.9,-99.7,-99.9,21.9
202508121615,162,34.7,2.1,14.3,2.9,38.3,2.1,23.5,0.0,0.1,0.8,65.2,76.5,94.5,1007.8,1011.4,22.6
202508121615,163,100.0,0.7,150.0,1.6,100.0,1.2,25.5,-99.7,0.2,0.2,15.5,15.8,92.0,1009.5,1010.7,24.1
202508121615,165,131.5,1.7,138.5,3.8,132.3,2.8,24.9,1.0,0.0,0.0,14.4,14.4,98.4,1005.3,1010.4,24.6
202508121615,167,60.0,1.3,90.0,2.0,50.0,1.4,22.9,-99.7,1.0,3.0,32.0,32.5,97.0,1011.2,1012.2,22.4
202508121615,168,73.2,2.5,71.3,3.0,78.7,2.7,22.9,-99.2,0.0,1.3,76.5,77.8,94.8,1004.3,1011.9,22.0
202508121615,169,156.0,4.4,160.0,4.8,163.2,4.0,23.3,1.0,2.9,10.2,30.9,31.0,96.7,1001.9,1010.5,22.7
